japanese,kana,english
専攻は何でしたか？,せんこう は なに でした か？,What was your major?
トムは短命でした。,トム は たんめい でした。,Tom didn't live a long life.
彼女は安物は身につけません。,かのじょ は やすもの は み に つけません。,She doesn't wear the cheap stuff.
わかりました。,わかりました。,I see.
わかりましたか。,わかりました か。,Do you understand?
彼は彼女の父親であることがわかりました。,かれ は かのじょ の ちちおや である こと が わかりました。,He turned out to be her father.
彼の言ったことは本当であるとわかりました。,かれ の いった こと は ほんとう である と わかりました。,What he said turned out true.
類をもって集まる。,るい を もって あつまる。,Birds of a feather flock together.
類は類をもって集まる。,るい は るい を もって あつまる。,Birds of a feather flock together.
鳥は鋭い目をもっている。,とり は するどい め を もっている。,Birds have sharp eyes.
僕を誰だとおもっているの。,ぼく を だれ だ と おもっている の。,What do you take me for?
トムは良い考えをもっている,トム は よい かんがえ を もっている,Tom has a good idea.
一日中閉じこもってるつもり？,いちにちちゅう とじこもってる つもり？,You can't stay in here all day.
泥棒はそのお金をもって逃げた。,どろぼう は その おかね を もって にげた。,The thief got away with the money.
トムは弟ほど金をもっていない。,トム は おとうと ほど きん を もっていない。,Tom has less money than his brother does.
トムは二部屋の家をもっている。,トム は に へや の いえ を もっている。,Tom has a house with two rooms.
それって、全くもって当然だよ。,それ って、まったく もって とうぜん だ よ。,That's perfectly natural.
君は政治に関心をもっているかい。,きみ は せいじ に かんしん を もっている かい。,Are you concerned with politics?
ジョンは日本製の車をもっている。,ジョン は にっぽんせい の くるま を もっている。,John has a car made in Japan.
ただでこの本をもっていっていいよ。,ただ で この ほん を もっていって いい よ。,You can have this book for nothing.
あなたは何本の鉛筆をもってますか。,あなた は なんほん の えんぴつ を もって ます か。,How many pencils do you have?
前もって予約しておく事が必要です。,まえもって よやく しておく こと が ひつよう です。,It is necessary that we make a reservation in advance.
あなたは私と同じカメラをもっている。,あなた は わたし と おなじ カメラ を もっている。,You have the same camera as mine.
前もって予約しといた方がいいですよ。,まえもって よやく しといた ほう が いい です よ。,You had better make a reservation in advance.
彼は大きな家と２台の車をもっている。,かれ は おおきな いえ と ２だい の くるま を もっている。,He has a large house and two cars.
前もって言ってくれればよかったのに。,まえもって いってくれれば よかっ た のに。,You should have told me in advance.
地球上の生物はみな炭素をもっている。,ちきゅうじょう の せいぶつ は みな たんそ を もっている。,All living things on Earth contain carbon.
清濁あわせのむ。,せいだく あわせのむ。,Accept both good and bad.
私の家はちょうど通りのむこうにある。,わたし の いえ は ちょうど とおり のむ こう に ある。,My house is just across the street.
さいたま市を再現してみた。,さいたまし を さいげん してみた。,Saitama city is seeing a return.
彼は彼女からの手紙を怒って引きさいた。,かれ は かのじょ からの てがみ を おこって ひきさいた。,He angrily tore up the letter from her.
車輪が回りだした。,しゃりん が まわりだした。,The wheel began to turn.
彼女はうまく彼から真実を聞きだした。,かのじょ は うまく かれ から しんじつ を ききだした。,She succeeded in drawing the truth from him.
私が箱を開けるとすぐに蛙が跳びだした。,わたし が はこ を あけると すぐ に かえる が とびだした。,No sooner had I opened the box than a frog jumped out.
彼は手品を使って帽子からウサギをとりだした。,かれ は てじな を つかって ぼうし から ウサギ を とりだした。,He produced a rabbit out of his hat by magic.
多くの人に囲まれて彼は自然と少し緊張しだした。,おおく の ひと に かこまれて かれ は しぜん と すこし きんちょう しだした。,With so many people around he naturally became a bit nervous.
道という道は川から溢れだした水で覆われていた。,みち という みち は かわ から あふれだした みず で おおわれていた。,Anything like a road was covered with water that had flooded out of the river.
試合の途中で突然雨が降ってきて、雷まで鳴りだした。,しあい の とちゅう で とつぜん あめ が ふってきて、かみなり まで なりだした。,"During the game, it suddenly began to rain and it thundered, too."
遅くなります。,おそく なります。,I'll be late.
お待ちになりますか。,おまち に なります か。,Would you like to wait?
３ユーロとなります。,３ ユーロ と なります。,That'll be three euros.
来年30歳になります,らいねん 30さい に なります,I'll be thirty next year.
３０ユーロになります。,３０ ユーロ に なります。,This will cost €30.
もっと安くなりますか。,もっと やすく なります か。,Could you reduce the price a little?
きっと雨になりますよ。,きっと あめ に なります よ。,The weather is sure to be wet.
何かお飲みになりますか？,なに か お のみ に なります か？,Would you like something to drink?
もうすぐ六時になります。,もうすぐ ろくじ に なります。,It's almost six o'clock.
お通じがよくなりますよ。,お つうじ が よく なります よ。,It moves the bowels.
妻の乾咳が気になります。,つま の からせき が き に なります。,I'm concerned about my wife's hacking cough.
来年君は何歳になりますか。,らいねんくん は なんさい に なります か。,How old will you be next year?
私は来月16歳になります。,わたし は らいげつ 16さい に なります。,I'll be sixteen years old next month.
牛乳をお飲みになりますか。,ぎゅうにゅう を お のみ に なります か。,Would you like a cup of milk?
私のをお使いになりますか？,わたし の を お つかい に なります か？,Do you want to use mine?
関税申告書が必要になります。,かんぜい しんこくしょ が ひつよう に なります。,A customs declaration is required.
百セントは一ドルになります。,ひゃくセント は いちドル に なります。,One hundred cents makes one dollar.
健は来年で１５歳になります。,けん は らいねん で １５さい に なります。,Ken will be fifteen next year.
彼女はすぐに良くなりますか？,かのじょ は すぐ に よく なります か？,Will she get well soon?
7日間で40ドルになります。,7にちかん で 40ドル に なります。,40 dollars for seven days.
トムは列にならんでいた。,トム は れつ に ならんでいた。,Tom stood in line.
ケンは私とならんで走った。,ケン は わたし と ならんで はしった。,Ken was running beside me.
ポテチを食べだすと止まらないの。,ポテチ を たべだすと とまらない の。,"If I start eating potato chips, I can't stop."
ホラー映画を見ることに楽しみを見いだす人もいる。,ホラー えいが を みる こと に たのしみ を みいだす ひと も いる。,Some people derive pleasure from watching horror movies.
結婚式かもしれません。,けっこんしき かも しれません。,It might be a wedding.
雪が降るかもしれません。,ゆき が ふる かも しれません。,It may snow.
かなり悪いかもしれません。,かなり わるい かも しれません。,It seems to be serious.
数分遅れるかもしれません。,すうふん おくれる かも しれません。,I might be a few minutes late.
夢ではないかもしれませんよ。,ゆめ では ない かも しれません よ。,It may not be a dream.
多少あとが残るかもしれません。,たしょう あと が のこる かも しれません。,There may be some scars.
父は今家にいるかもしれません。,ちち は いまか に いる かも しれません。,My father may be at home now.
治療により病気が治るかもしれません。,ちりょう により びょうき が なおる かも しれません。,Perhaps the illness is cured through medical treatment.
あの歌舞伎の本は高いかもしれません。,あの かぶき の ほん は たかい かも しれません。,That book on kabuki might be expensive.
所によって、雪が降るかもしれません。,しょ によって、ゆき が ふる かも しれません。,"Depending on your location, there's a chance of snow."
当面の問題には関係ないかもしれません。,とうめん の もんだい には かんけい ない かも しれません。,This might not have anything to do with the problem at hand.
あなたはトムに会えないかもしれません。,あなた は トム に あえない かも しれません。,You might not be able to see Tom.
確かにあなたの言い分は正しいかもしれません。,たしか に あなた の いいぶん は ただしい かも しれません。,Certainly you may well be right.
「不具者」という言葉は侮辱かもしれませんね。,「ふぐしゃ」という ことば は ぶじょく かも しれません ね。,"The word fugusha (""disabled"") might be insulting."
これはもしかして私の秘書の研究かもしれません。,これ は もしかして わたし の ひしょ の けんきゅう かも しれません。,This may be research my secretary did.
結局のところ、あなたが正しいのかもしれませんね。,けっきょく の ところ、あなた が ただしい の かも しれません ね。,"Maybe you're right, after all."
雨は降るかもしれませんが、どうにかして行きます。,あめ は ふる かも しれません が、どうにか していきます。,"It might rain, but I'm going anyhow."
今の私に一番欠けているのは集中力かもしれません。,いま の わたし に いちばん かけている の は しゅうちゅうりょく かも しれません。,"Currently, the most lacking thing about myself is probably my ability to concentrate."
彼は公園の周りをジョギングしているかもしれません。,かれ は こうえん の まわり を ジョギング している かも しれません。,He may be jogging around the park.
旅行でこのガイドブックが役に立つかもしれませんよ。,りょこう で この ガイドブック が やくにたつ かも しれません よ。,This guidebook might be of use to you on your trip.
違うってば。,ちがう って ば。,I said no.
手伝うって約束するよ。,てつだう って やくそく する よ。,I promise you I'll help you.
他人の事はほうっておいてくれ。,たにん の こと は ほうっておいてくれ。,Mind your own business!
俺を助けようっていうんじゃないのかよ？,おれ を すけよう って いう ん じゃ ない の かよ？,Are you gonna help me or what?
何とおっしゃったのですか。,なんと おっしゃった の です か。,Come again?
あなたのおっしゃった事に興味を持ちました。,あなた の おっしゃった こと に きょうみ を もちました。,I was interested in your remark.
申し訳ございません。,もうしわけ ございません。,I am truly sorry.
とんでもございません！,とんでも ございません！,No way!
御用はございませんか。,ごよう は ございません か。,Could I help you?
あら、申し訳ございません。,あら、もうしわけ ございません。,"Oh, I'm sorry."
お礼の申し上げ様もございません。,おれい の もうしあげさま も ございません。,I can't thank you enough.
お待たせして申し訳ございません。,お またせして もうしわけ ございません。,I'm sorry to have kept you waiting.
イタリアはギリシャじゃございません。,イタリア は ギリシャ じゃ ございません。,Italy isn't Greece.
ご迷惑をおかけして申し訳ございません。,ご めいわく を おかけ して もうしわけ ございません。,Sorry to bother you.
ご面倒をお掛けして申し訳ございません。,ご めんどう を お かけして もうしわけ ございません。,We are sorry for the inconvenience.
ここまででご不明な点はございませんか？,ここ までで ご ふめい な てん は ございません か？,Has anything been unclear so far?
ご期待に添えず申し訳ございませんでした。,ご きたい に そえず もうしわけ ございませんでした。,I’m sorry I couldn't meet your expectations.
たいへんお手数をおかけしまして申し訳ございません。,たいへん おてすう を おかけ しまし て もうしわけ ございません。,I am sorry that I have troubled you so much.
大変申し訳ございませんが、もう品切れでございます。,たいへん もうしわけ ございません が、もう しなぎれ でございます。,"I'm sorry, but we're out of stock."
会長は話をまとめる。,かいちょう は はなし を まとめる。,The company's president makes a conclusion.
クラスをまとめるのが君の役目だ。,クラス を まとめる の が きみ の やくめ だ。,It is your responsibility to bring the class together.
荷物をまとめるために、段ボールの箱が欲しいんです。,にもつ を まとめる ため に、だんぼーる の はこ が ほしい ん です。,I need some cardboard boxes to pack my possessions.
ブレーキがきかなかった。,ブレーキ が きかなかった。,The brake didn't work.
そうする機転がきかなかった。,そう する きてん が きかなかった。,I didn't have the sense to do so.
父は私達に行けといってきかなかった。,ちち は わたしたち に いけ と いって きかなかった。,My father insisted that we should go.
彼女は彼の忠告をきかなかったことを後悔した。,かのじょ は かれ の ちゅうこく を きかなかった こと を こうかい した。,She regretted that she had not followed his advice.
楽しかった。,たのしかっ た。,I enjoyed myself.
皆は楽しかった。,みな は たのしかっ た。,Everybody had a good time.
彼は忙しかった。,かれ は いそがしかっ た。,He was busy.
さみしかったよ。,さみしかっ た よ。,I missed you.
休日は楽しかった？,きゅうじつ は たのしかっ た？,Did you enjoy your holiday?
何が欲しかったの？,なに が ほしかっ た の？,What was it that you wanted?
彼は気難しかった。,かれ は きむずかしかっ た。,He was hard to please.
本当に楽しかった。,ほんとうに たのしかっ た。,It was really fun.
自由が欲しかった。,じゆう が ほしかっ た。,I wanted my freedom.
お水が欲しかった。,お みず が ほしかっ た。,I wanted some water.
会えて嬉しかったよ。,あえて うれしかっ た よ。,Nice seeing you!
とても難しかったよ。,とても むずかしかっ た よ。,It was very difficult.
彼は結局正しかった。,かれ は けっきょく ただしかっ た。,He was right after all.
彼は彼女をしかった。,かれ は かのじょ を しかった。,He scolded her.
彼女は勇ましかった。,かのじょ は いさましかっ た。,She was brave.
私は一日中忙しかった。,わたし は いちにちちゅう いそがしかっ た。,I was busy all day.
東京はすばらしかった。,とうきょう は すばらしかっ た。,Tokyo was really wonderful.
彼は宿題で忙しかった。,かれ は しゅくだい で いそがしかっ た。,He was busy with his homework.
彼女は大変忙しかった。,かのじょ は たいへん いそがしかっ た。,She was very busy.
彼の母親は正しかった。,かれ の ははおや は ただしかっ た。,His mother was right.
この荷物をトランクにいれてもらえますか。,この にもつ を トランク に いれてもらえます か。,Could you put these bags in the trunk?
眼窩とは、目をいれている骨のいれもののことです。,がんか とは、め を いれている ほね の いれ もの の こと です。,The eye socket is the bone receptacle in which the eye fits.
やった！,やった！,We did it!
やった。,やった。,I did it.
やったね！,やった ね！,You did it!
やったよ。,やった よ。,Done.
宿題やった？,しゅくだい やった？,Did you do your homework?
よくやった！,よく やった！,Well done!
やってやった。,やってやった。,I did it.
わざとやったのね！,わざと やった のね！,You did this intentionally!
みんなよくやった。,みんな よく やった。,All of you did good work.
もう犬に餌やった？,もう いぬ に えさ やった？,Have you fed the dog yet?
彼が自分でやった。,かれ が じぶん で やった。,He did it himself.
やったことあるの？,やった こと ある の？,Have you ever done it?
またやったのかよ。,また やった の かよ。,You did it again.
彼は犬に骨をやった。,かれ は いぬ に ほね を やった。,He gave the dog a bone.
トムがそれやったの？,トム が それ やった の？,Did Tom do that?
やった甲斐はあった。,やった かい は あった。,It was worth it.
やれる事はやったよ。,やれる こと は やった よ。,You did your best.
僕らはこれをやった。,ぼくら は これ を やった。,We did this.
かれは土に水をやった。,かれ は ど に みず を やった。,He watered the soil.
トムを泣かせてやった。,トム を なかせてやった。,I made Tom cry.
頭数がたりないんだよ。,とうすう が たりない ん だ よ。,We're coming up short on the head count!
今はできません。,いま は できません。,I can't do that now.
私にはできません。,わたし には できません。,I can't do it.
これはできません。,これ は できません。,I can't do this.
今日はできません。,きょう は できません。,I can't do it today.
私も説明できません。,わたし も せつめい できません。,I can't explain it either.
泳ぎに行きませんか。,およぎ に いきません か。,How about going swimming?
一緒に行きませんか。,いっしょ に いきません か。,Won't you come with me?
鼻で息ができません。,はな で いき が できません。,I can't breathe through my nose.
踊りに行きませんか。,おどり に いきません か。,Why don't we go dancing?
これ以上できません。,これ いじょう できません。,I can't do any more.
彼には賛成できません。,かれ には さんせい できません。,I don't agree with him.
痛みが我慢できません。,いたみ が がまん できません。,I can't bear the pain.
母はお伺いできません。,はは は お うかがいできません。,My mother can't come.
今すぐにはできません。,いま すぐ には できません。,I can't do it right now.
タクシーで行きませんか。,タクシー で いきません か。,"Let's go by taxi, shall we?"
浴室の電気がつきません。,よくしつ の でんき が つきません。,The lights in the bathroom aren't working.
映画を観に行きませんか?,えいが を かん に いきません か ?,Shall we go to the cinema?
私は母ほど早く起きません。,わたし は はは ほど はやく おきません。,I don't get up as early as my mother.
お手洗の電気がつきません。,お てあらい の でんき が つきません。,The lights in the bathroom aren't working.
旅行に一緒に行きませんか。,りょこう に いっしょ に いきません か。,Do you want to go on a trip with me?
気を楽にして、何よりもうろたえないことだ。,き を らく に して、なに よりも うろたえない こと だ。,"Relax, and above all, don't panic."
私は米俵をかつぐ。,わたし は べい たわら を かつぐ。,I carry a bag of rice.
口をつぐんでいるべきだった。,くち を つぐんでいるべきだった。,I should have kept my mouth shut.
ねえ、鈴木さんって、幾つぐらいなんだろう。,ねえ、すずきさん って、いくつ ぐらい なん だろう。,"Hey, how old do you think Mr. Suzuki is?"
彼女は一秒たりとも口をつぐんでいることができない。,かのじょ は いちびょう たり とも くち を つぐんでいる こと が できない。,"She simply cannot keep her mouth shut, not even for a second."
彼は蔵書をふやした。,かれ は ぞうしょ を ふやした。,He accumulated his library.
てんで役にたたない。,てんで やく に たたない。,It's totally useless.
何も起きなかった。,なに も おきなかった。,Nothing happened.
拒否できなかった。,きょひ できなかった。,I couldn't deny it.
彼は早く起きなかった。,かれ は はやく おきなかった。,He did not get up early.
私は何もできなかった。,わたし は なに も できなかった。,I couldn't do anything.
眠ることができなかった。,ねむる こと が できなかった。,I couldn't sleep.
嵐のため出発できなかった。,あらし の ため しゅっぱつ できなかった。,The storm prevented me from leaving.
病気のため登校できなかった。,びょうき の ため とうこう できなかった。,Illness prevented me from coming to school.
雨のため私は外出できなかった。,あめ の ため わたし は がいしゅつ できなかった。,"Because of rain, I could not go out."
雪のため私は外出できなかった。,ゆき の ため わたし は がいしゅつ できなかった。,The snow prevented me from going out.
彼はその文が理解できなかった。,かれ は その ぶん が りかい できなかった。,He couldn't understand the sentence.
雪のため彼は外出できなかった。,ゆき の ため かれ は がいしゅつ できなかった。,He couldn't go out because of the snow.
わたしは眠気を我慢できなかった。,わたし は ねむけ を がまん できなかった。,I couldn't help falling asleep.
私はその会合に出席できなかった。,わたし は その かいごう に しゅっせき できなかった。,I could not attend the meeting.
雪で出かけることができなかった。,ゆき で でかける こと が できなかった。,I couldn't go out because of the snow.
私はその会話に参加できなかった。,わたし は その かいわ に さんか できなかった。,I didn't participate in the conversation.
こうなるとは予想ができなかった。,こう なる とは よそう が できなかった。,It wasn't supposed to happen.
彼はパーティーに出席できなかった。,かれ は パーティー に しゅっせき できなかった。,He wasn't able to attend the party.
嵐のために、船は出航できなかった。,あらし の ため に、ふね は しゅっこう できなかった。,"Owing to the storm, the ship could not leave port."
彼はただ見守ることしかできなかった。,かれ は ただ みまもる こと しか できなかった。,He could do nothing but watch.
私は宿題を終えることができなかった。,わたし は しゅくだい を おえる こと が できなかった。,I was unable to finish my homework.
すみません。,すみません。,I'm sorry.
あっ、すみません。,あっ、すみません。,"Oh, I'm sorry."
本当にすみません。,ほんとうに すみません。,"Oh, I'm terribly sorry."
お話し中すみません。,おはなしちゅう すみません。,May I cut in?
ちょっと休みませんか？,ちょっと やすみません か？,How about taking a rest?
お邪魔してすみません。,お じゃま して すみません。,I'm sorry to bother you.
私は酒類は飲みません。,わたし は しゅるい は のみません。,I don't drink alcohol.
お茶でも飲みませんか？,おちゃ でも のみません か？,Would you like to have some tea?
すみません、通ります。,すみません、とおります。,"Excuse me, I'm coming through."
お話の途中ですみません。,おはなし の とちゅう で すみません。,Excuse me for interrupting you.
彼に相談してみませんか。,かれ に そうだん してみません か。,Why don't we ask his advice?
返事が遅れてすみません。,へんじ が おくれて すみません。,I'm sorry for the late response.
すみません、前通ります。,すみません、まえ とおります。,"Excuse me, I'm coming through."
約束を破ってすみません。,やくそく を やぶって すみません。,I'm sorry for breaking my promise.
こんな格好ですみません。,こんな かっこう で すみません。,I'm sorry that I'm dressed like this.
お役に立てずすみません。,お やく に たてず すみません。,Sorry I couldn't be of much use.
料金には箱代は含みません。,りょうきん には はこだい は ふくみません。,The price does not include the box.
トピずれです。すみません。,トピ ずれ です。すみません。,This is off-topic. Sorry.
私はコーヒーを飲みません。,わたし は コーヒー を のみません。,I do not drink coffee.
コーヒーを全然飲みません。,コーヒー を ぜんぜん のみません。,I don't drink coffee at all.
少しくれませんか。,すこし くれません か。,Will you give me some?
乗せてくれませんか。,のせてくれません か。,Can you give me a ride?
僕と踊ってくれませんか。,ぼく と おどってくれません か。,Would you like to dance with me?
車に乗せてくれませんか。,くるま に のせてくれません か。,Will you give me a ride?
道を教えてくれませんか。,みち を おしえてくれません か。,Could you tell me the way?
話をやめてくれませんか。,はなし を やめてくれません か。,Will you stop talking?
腕を放してくれませんか。,うで を はなしてくれません か。,Would you please let go of my arm?
頼みを聞いてくれませんか。,たのみ を きいてくれません か。,Could you do me a favour please?
ペンを貸してくれませんか。,ペン を かしてくれません か。,Would you mind lending me your pen?
私と結婚してくれませんか。,わたし と けっこん してくれません か。,Will you marry me?
私と共に来てくれませんか。,わたし と ともに きてくれません か。,Would you mind coming with me?
空港に送ってくれませんか。,くうこう に おくってくれません か。,"Can you take me to the airport, please?"
家まで送ってくれませんか。,いえ まで おくってくれません か。,Could you give us a ride home?
明かりをつけてくれませんか。,あかり を つけてくれません か。,"Could you turn on the light, please?"
何か飲むものをくれませんか。,なに か のむ もの を くれません か。,Will you give me something to drink?
駅に迎えに来てくれませんか。,えき に むかえ に きてくれません か。,Can you pick me up at the station?
私たちに教えてくれませんか。,わたしたち に おしえてくれません か。,Why don't you enlighten us?
その本を貸してくれませんか。,その ほん を かしてくれません か。,Please lend me that book.
駅まで車で送ってくれませんか。,えき まで くるま で おくってくれません か。,Could you give me a lift to the train station?
タクシーを呼んでくれませんか。,タクシー を よんでくれません か。,Will you please call me a taxi?
彼がわたしたちの案内役をつとめた。,かれ が わたしたち の あんないやく を つとめた。,He acted as our guide.
何もきかないで。,なに も きかない で。,Don't ask any questions.
ともかく気にくわない。,ともかく き に くわない。,"Anyway, I don't like it."
私は彼の言ったことが気にくわない。,わたし は かれ の いった こと が き に くわない。,I don't like what he said.
彼はどんな仕事にむいているのですか。,かれ は どんな しごと に むいている の です か。,What kind of job is he fit for?
ジャガイモとニンジンの皮をむいてください。,ジャガイモ と ニンジン の かわ を むいてください。,Peel the potatoes and the carrots.
君が試験に合格したという知らせをきいたよ。,きみ が しけん に ごうかく した という しらせ を きいた よ。,We heard the news that you had passed the exam.
彼はこの町を隅から隅まで知りつくしている。,かれ は この まち を すみ から すみ まで しりつくしている。,He knows this town inside out.
日没前に仕事を終えるよう全力をつくしてやった。,にちぼつ まえ に しごと を おえる よう ぜんりょく を つくしてやった。,We went all out to finish the work before dark.
一時間ではそこへたどり着けない。,いちじかん で は そこ へ たどりつけない。,I cannot get there in an hour.
私達はついに頂上へたどり着いた。,わたしたち は ついに ちょうじょう へ たどりついた。,"At last, we reached the summit."
私たちはいつそこへたどり着きますか？,わたしたち は いつ そこ へ たどりつきます か？,When will we get there?
我々は暗くなる前に頂上へたどり着きたい。,われわれ は くらく なる まえ に ちょうじょう へ たどりつきたい。,We hope to reach the summit before it gets dark.
頂上までまだ半分以上あるのに、もうへたばったの？,ちょうじょう まで まだ はんぶん いじょう あるのに、もう へたばった の？,We're less than halfway to the top of the mountain. Are you already tired?
彼はイギリスで生まれたが、英語がとてもへたくそだ。,かれ は イギリス で うまれた が、えいご が とても へたくそ だ。,"Although he was born in England, he speaks English very badly."
中に入れてあげて。,なか に いれてあげて。,Let him in.
トムを入れてあげて。,トム を いれてあげて。,Let Tom in.
手をあげて出て来い。,て を あげて でてこい。,Come out with your hands up.
トムにやらせてあげて。,トム に やらせてあげて。,Let Tom try.
手をあげてから答えなさい。,て を あげてから こたえなさい。,Raise your hand before you answer.
トムにティッシュをあげて。,トム に ティッシュ を あげて。,Give Tom a tissue.
お名前はよく存じあげています。,お なまえ は よく ぞんじあげています。,I'm familiar with your name.
お願い、私の娘を助けてあげて。,おねがい、わたし の むすめ を たすけてあげて。,"Please, help my daughter."
彼にビールを一杯注いであげてください。,かれ に ビール を いっぱい そそいであげてください。,Please pour him a glass of beer.
何とお礼を申しあげてよいか分かりません。,なに と おれい を もうしあげて よい か わかりません。,I can't thank you enough.
会員の名前をひとりひとりあげてください。,かいいん の なまえ を ひとりひとり あげてください。,"Mention each member by name, please."
あの方が言われる事を、何でもしてあげて下さい。,あの ほう が いわれる こと を、なに でも してあげてください。,Do whatever he tells you.
この絵が欲しい人がいたら誰にでもあげていいですよ。,この え が ほしい ひと が いたら だれ にでも あげて いい です よ。,You may give this picture to whoever wants it.
あなたがメアリーの本を持ってあげてるのを見ました。,あなた が メアリー の ほん を もってあげてる の を みました。,I saw you carrying Mary's books for her.
みんな楽しんだ。,みんな たのしんだ。,Everyone had fun.
トムは楽しんだ。,トム は たのしんだ。,Tom had fun.
彼らは楽しんだ。,かれら は たのしんだ。,They had fun.
彼は野球を楽しんだ。,かれ は やきゅう を たのしんだ。,He enjoyed playing baseball.
ゲームをして楽しんだ。,ゲーム を して たのしんだ。,We amused ourselves by playing games.
国民は重税に苦しんだ。,こくみん は じゅうぜい に くるしんだ。,The people groaned under the burden of heavy taxation.
私はテニスを楽しんだ。,わたし は テニス を たのしんだ。,I had enjoyed some tennis.
我々は心ゆくまで楽しんだ。,われわれ は こころゆく まで たのしんだ。,We enjoyed ourselves to the fullest.
私はパーティーで楽しんだ。,わたし は パーティー で たのしんだ。,I had a good time at the party.
私は彼と話すのを楽しんだ。,わたし は かれ と はなす の を たのしんだ。,I enjoyed talking with him.
私は彼との会話を楽しんだ。,わたし は かれ との かいわ を たのしんだ。,I enjoyed talking with him.
トムは心ゆくまで楽しんだ。,トム は こころゆく まで たのしんだ。,Tom ate his fill.
私たちは川での泳ぎを楽しんだ。,わたしたち は かわ での およぎ を たのしんだ。,We enjoyed swimming in the river.
彼女とのおしゃべりを楽しんだ。,かのじょ との おしゃべり を たのしんだ。,I enjoyed talking with her.
私たちはテレビを見て楽しんだ。,わたしたち は テレビ を みて たのしんだ。,We enjoyed watching TV.
トムは何年も偏頭痛に苦しんだ。,トム は なんねん も へんずつう に くるしんだ。,"For years, Tom suffered from migraine headaches."
トムはメアリーの話を楽しんだ。,トム は メアリー の はなし を たのしんだ。,Tom enjoyed Mary's story.
全国民が王の訃報を聞き悲しんだ。,ぜん こくみん が おう の ふほう を ききかなしんだ。,The whole nation was sad to hear that their king died.
私は昨夜サッカーを見て楽しんだ。,わたし は さくや サッカー を みて たのしんだ。,I enjoyed watching soccer last night.
僕は本当にピクニックを楽しんだ。,ぼく は ほんとうに ピクニック を たのしんだ。,I really enjoyed the picnic.
猫をみつけた。,ねこ を みつけた。,I found the cat.
彼は父親が台所で倒れているのをみつけた。,かれ は ちちおや が だいどころ で たおれている の を みつけた。,He found his father lying in the kitchen.
これは代わりになるものをみつけたい単語だ。,これ は かわり に なる もの を みつけたい たんご だ。,It's a word I'd like to find a substitute for.
他社に後れをとるな。,たしゃ に おくれ を とる な。,Don't fall behind other companies!
彼は一番をとるだろう。,かれ は いちばん を とるだろう。,He will win the first prize.
彼女は家で昼食をとる。,かのじょ は いえ で ちゅうしょく を とる。,She has lunch at home.
今日は昼食をとる時間がない。,きょう は ちゅうしょく を とる じかん が ない。,I don't have enough time to eat lunch today.
睡眠をとるよう心がけなさい。,すいみん を とる よう こころがけなさい。,Make sure you get some sleep.
彼は出席をとるときいなかった。,かれ は しゅっせき を とる とき いなかった。,He was absent at roll call.
こ、こら！ナニやっとるかぁぁ！！,こ、こら！ナニ やっとる かぁ ぁ！！,H-Hey! What're you up to!!
ふつう、消費者は質より量をとる。,ふつう、しょうひしゃ は しつ より りょう を とる。,"Usually, consumers would take quantity over quality."
食事はゆっくりとるようにしなさい。,しょくじ は ゆっくり とる よう に しなさい。,Take your time when you eat meals.
君がそんな態度をとるなんて意外だった。,きみ が そんな たいど を とる なんて いがい だった。,I'm surprised at your behavior.
この魚は骨が多くてとるのがたいへんだ。,この さかな は ほね が おおく てとる の が たいへん だ。,This fish is bony and it is not easy to bone it.
人は年をとるにつれて記憶力が悪くなる。,ひと は とし を とる につれて きおくりょく が わるく なる。,"As we age, our ability to remember gets worse."
チャールズはいつも一番容易な方法をとる。,チャールズ は いつも いちばん ようい な ほうほう を とる。,Charles always takes the line of least resistance.
ついに彼女は旧友と連絡をとることができた。,ついに かのじょ は きゅうゆう と れんらく を とる こと が できた。,"At last, she was able to contact her old friend."
私の使命はその文章を写真にとることである。,わたし の しめい は その ぶんしょう を しゃしん に とる こと である。,My mission is to photograph the documents.
やってみたが、彼と連絡をとることができなかった。,やってみた が、かれ と れんらく を とる こと が できなかった。,I found it impossible to get in contact with him.
年をとるにしたがって彼女はますます美しくなった。,とし を とる に したがって かのじょ は ますます うつくしく なった。,She became more and more beautiful as she grew older.
家族と一緒に食事をとることは重要だと思いますか。,かぞく と いっしょ に しょくじ を とる こと は じゅうよう だ と おもいます か。,Do you think that eating with your family is important?
私はあわてて逃げた。,わたし は あわてて にげた。,I ran away in a hurry.
私はお姉ちゃんの夕飯をラップに包んでしまわないと。,わたし は お ねえちゃん の ゆうはん を ラップ に つつんでしまわない と。,I need to wrap my older sister's dinner in plastic wrap.
彼女はあがるとどもる。,かのじょ は あがると どもる。,She stammers when she feels nervous.
親切にしてやればつけあがる。,しんせつ に してやれば つけあがる。,Give him an inch and he'll take a yard.
「雨がすぐあがるでしょうか」「あがらないと思うよ」,「あめ が すぐ あがるでしょう か」「あがらない と おもう よ」,"Will it stop raining soon? ""I'm afraid not."""
彼女は花に殺虫剤を振りまいた。,かのじょ は はな に さっちゅうざい を ふりまいた。,She sprayed pesticide on the flowers.
ベンは悪意から私の噂をばらまいた。,ベン は あくい から わたし の うわさ を ばらまいた。,Ben spread a rumor about me out of malice.
ヘレンはパーティーでお世辞を振りまいた。,ヘレン は パーティー で お せじ を ふりまいた。,Helen made herself agreeable to everyone at the party.
彼は平和をもたらす努力をした。,かれ は へいわ を もたらす どりょく を した。,He tried to bring about peace.
