Word,Reading,Meaning
対立,たいりつ,"confrontation, opposition, antagonism"
独立,どくりつ,"independence (e.g. Independence Day), self-support"
私立,"しりつ, わたくしりつ",private (establishment)
設立,せつりつ,"establishment, foundation, incorporation (of a business)"
並立,へいりつ,standing abreast
確立,かくりつ,establishment
手,て,"hand, arm; forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards)"
選手,せんしゅ,"player (in game), team member"
選手権,せんしゅけん,"championship, title (of champion)"
相手,あいて,"companion, partner, company; other party, addressee; opponent (sports, etc.)"
大手,"おおて, おおで","front castle gate; both arms open, outstretched arms; major companies"
投手,とうしゅ,(baseball) pitcher
若手,わかて,young person
手続き,てつづき,"procedure, (legal) process, formalities"
取っ手,"とって, はしゅ","handle, grip, knob"
歌手,かしゅ,singer
勢力,せいりょく,"influence, power, might, strength, potency, force, energy"
努力,どりょく,"great effort, exertion, endeavour, endeavor, effort"
協力,きょうりょく,"cooperation, collaboration"
権力,けんりょく,"(political) power, authority, influence"
原子力,げんしりょく,atomic energy
実力,じつりょく,"(real) ability, true strength, merit, efficiency, competency; arms, force"
能力,のうりょく,"ability, faculty"
武力,ぶりょく,"armed might, military power, the sword, force"
暴力団,ぼうりょくだん,"gangster organization (organisation), crime syndicate, yakuza (Japanese mafia), band of thugs, group of hoodlums"
有力,ゆうりょく,"influential, prominent; strong, likely, plausible, potent"
目的,もくてき,"purpose, goal, aim, objective, intention"
目標,もくひょう,"mark, objective, target"
注目,ちゅうもく,"notice, attention, observation"
項目,こうもく,"(data) item, entry"
名目,"めいもく, みょうもく","name, title, appellation, (something) nominal; (under the) pretext (of), pretense"
種目,しゅもく,"event, item of business"
目玉,めだま,"eyeball; special feature, centerpiece, showpiece, drawcard; special program, loss leader"
目前,もくぜん,"before one's very eyes, under one's nose, imminence, close at hand"
目の前,めのまえ,"before one's eyes, immediate, imminent"
品目,ひんもく,list of articles
上田,じょうでん,"high rice field, very fertile rice field"
水田,すいでん,(water-filled) paddy field
油田,ゆでん,oil field
田舎,いなか,"rural area, countryside, the sticks; hometown"
桑田,そうでん,mulberry plantation
田園,"でんえん, でんおん","country, rural districts; cultivated land, fields"
田畑,"たはた, でんぱた, たはたけ",fields (of rice and other crops)
田植え,たうえ,rice planting
票田,ひょうでん,(favorable voting) constituency (favourable)
新田,しんでん,a new rice field
正,せい,"(logical) true, regular; 10^40; original"
改正,かいせい,"revision, amendment, alteration"
修正,しゅうせい,"amendment, correction, revision, modification, alteration, retouching, update, fix"
正式,せいしき,"due form, official, formality"
正常,せいじょう,"normalcy, normality, normal"
是正,ぜせい,"correction, revision"
正義,せいぎ,"justice, right, righteousness, correct meaning"
正午,しょうご,"noon, mid-day"
正面,しょうめん,"front, frontage, facade, main"
不正,ふせい,"injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality, fraud"
文,ふみ,"letter, writings"
文化,ぶんか,"culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22)"
文学,ぶんがく,literature
文書,"ぶんしょ, もんじょ","document, writing, letter, paperwork, note, records, archives"
文字,"もじ, もんじ","letter (of alphabet), character; literal"
文部省,もんぶしょう,"Ministry of Education, Culture, Sports, Science and Technology"
注文,ちゅうもん,"order, request"
論文,ろんぶん,"thesis, essay, treatise, paper, article"
文庫,ぶんこ,"library, book collection; paperback book"
文章,ぶんしょう,"sentence, article, composition; (writing) style"
委員会,いいんかい,"committee, commission, board, panel, committee meeting"
会員,かいいん,"member, the membership"
会議,かいぎ,"meeting, conference, session, assembly, council, convention, congress"
会見,かいけん,"interview, audience"
会社,かいしゃ,"company, corporation; workplace"
会談,かいだん,"conversation, conference, discussion, interview"
会長,かいちょう,"president (of a society), chairman"
議会,ぎかい,"Diet, congress, parliament"
協会,きょうかい,"association, society, organization, organisation"
国会,こっかい,"National Diet, parliament, congress"
同時,どうじ,"simultaneous(ly), concurrent, same time, synchronous, together"
同社,どうしゃ,the same firm
同日,どうじつ,the same day
共同,きょうどう,"doing together (as equals), sharing, common (land, etc.), joint (statement, etc.), cooperation, co-operation, collaboration, association"
同市,どうし,same city
共同体,きょうどうたい,"cooperative body, cooperative system, collective, community"
同県,どうけん,the same prefecture
同国,どうこく,"the same country, the same province, the said country"
同省,どうしょう,"the said ministry, the same ministry"
同党,どうとう,the same political party
自ら,みずから,"for one's self, personally"
自衛隊,じえいたい,"self-defence force, self-defense force; Japan Self-Defence Force, JSDF"
自身,じしん,"by oneself, personally"
自然,しぜん,"nature, spontaneity; naturally, spontaneously"
自宅,じたく,one's home
自動車,じどうしゃ,automobile
自分,じぶん,"myself, yourself, oneself, himself, herself; I, me"
自由,じゆう,"freedom, liberty, as it pleases you"
自民党,じみんとう,"Liberal Democratic Party, LDP"
自民,じみん,"Liberal Democratic Party, LDP"
会社,かいしゃ,"company, corporation; workplace"
社会,しゃかい,"society, public"
社会党,しゃかいとう,Socialist Party
社長,しゃちょう,"company president, manager, director"
同社,どうしゃ,the same firm
本社,"ほんしゃ, ほんじゃ","head office, main office, headquarters; main shrine; this company, this shrine"
社員,しゃいん,"company employee; company stockholders (esp. in legal contexts), members of a corporation"
副社長,ふくしゃちょう,executive vice-president
民社党,みんしゃとう,Democratic Socialist Party
自社,じしゃ,"one's company, company one works for; in-house, belonging to the company"
地,ち,"earth, ground, land, soil; place; territory; bottom (of a package, book, etc.)"
現地,げんち,"actual place, local"
地域,ちいき,"area, region"
地球,ちきゅう,the earth
地区,ちく,"district, section, sector"
地元,じもと,"home area, home town; local"
地方,"ちほう, じかた","area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance"
土地,とち,"plot of land, lot, soil"
基地,きち,base
地検,ちけん,District Public Prosecutor's Office
一方,いっぽう,"one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only"
見方,みかた,viewpoint
地方,"ちほう, じかた","area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance"
方向,ほうこう,"direction, orientation, bearing, way; course (e.g. of action)"
方針,ほうしん,"objective, plan, policy"
方法,ほうほう,"method, process, manner, way, means, technique"
考え方,かんがえかた,way of thinking
行方,ゆくえ,"(one's) whereabouts; course, direction"
双方,そうほう,"two way, both parties, mutual, both"
方,ほう,"side, direction, way"
新た,あらた,"new, fresh, novel; newly, freshly, re-"
新党,しんとう,new (political) party
新聞,しんぶん,newspaper
新人,しんじん,"new face, newcomer; modern humans (from Cro-Magnon man onwards)"
新生,しんせい,"rebirth, new birth, nascent"
新しい,あたらしい,new
新幹線,しんかんせん,"bullet train (very high speed), Shinkansen"
革新,かくしん,"reform, innovation"
最新,さいしん,"latest, newest, late-breaking (news)"
新規,しんき,"new, fresh; new customer; new rules or regulations"
現場,"げんば, げんじょう","actual spot, scene, scene of the crime"
市場,いちば,(town) market; (the) marketplace
場所,ばしょ,"place, location"
立場,たちば,"standpoint, position, situation"
工場,"こうじょう, こうば","factory, plant, mill, workshop"
会場,かいじょう,"assembly hall, meeting place, the grounds"
劇場,げきじょう,"theatre, theater, playhouse"
出場,しゅつじょう,"(stage) appearance, participation, performance"
場面,ばめん,"scene, setting (e.g. of novel)"
職場,しょくば,"one's post, place of work, workplace"
口,くち,"mouth; opening, hole, gap, orifice; mouth (of a bottle), spout, nozzle, mouthpiece; gate, door, entrance, exit; speaking, speech, talk (i.e. gossip); taste, palate; mouth (to feed); opening (i.e. vacancy), available position; invitation, summons; kind, sort, type; opening (i.e. beginning); counter for mouthfuls, shares (of money), and swords"
人口,じんこう,population; common talk
窓口,まどぐち,"ticket window, teller window, counter; contact person, point of contact"
口座,こうざ,account (e.g. bank)
入り口,"いりぐち, いりくち, はいりぐち, はいりくち","entrance, entry, gate, approach, mouth"
大口,おおぐち,"large amount, big mouth, tall talk"
口調,くちょう,"tone (e.g. of voice, etc.), (verbal) expression"
出口,でぐち,"exit, gateway, way out, outlet, leak, vent"
川口,"かわぐち, かこう","mouth of river, estuary"
手口,てぐち,"modus operandi, criminal technique, trick"
町,"まち, ちょう","town, block, neighbourhood, neighborhood; street, road; 109.09 m; 0.99 hectares"
市町村,しちょうそん,"cities, towns and villages, municipalities"
同町,どうちょう,"the same town, that town"
町長,ちょうちょう,"town headman, town mayor"
町内,ちょうない,"neighborhood, neighbourhood, street, block, town"
下町,したまち,"Shitamachi, lower parts of town"
町村,ちょうそん,towns and villages
町民,ちょうみん,townspeople
町並み,まちなみ,"street (of stores and houses), townscape, (look of) stores and houses on street"
室町,むろまち,"Muromachi (era 1392-1573, or 1333-1573, or 1336-1573)"
明らか,あきらか,"obvious, evident, clear, plain"
声明,せいめい,"declaration, statement, proclamation"
説明,せつめい,"explanation, exposition"
不明,ふめい,"unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified"
明確,めいかく,"clear up, clarify, define"
公明党,こうめいとう,"New Komeito (Japanese political party), New Clean Government Party, Justice Party"
解明,かいめい,"clarification, elucidation, explication"
公明,こうめい,"fairness, justice"
表明,ひょうめい,"declaration, indication, representation, manifestation, demonstration, expression, announcement, assertion"
未明,みめい,"early dawn, grey of morning, gray of morning"
京,"きょう, けい","imperial capital (esp. Kyoto); final word of an iroha-uta; 10^16, 10,000,000,000,000,000, ten quadrillion (American), (obs) ten thousand billion (British)"
東京,とうきょう,Tokyo (current capital of Japan)
北京,ぺきん,"Beijing (China), Peking"
京都,きょうと,Kyoto
東京証券取引所,とうきょうしょうけんとりひきじょ,"Tokyo Stock Exchange, TSE"
帝京,ていきょう,the capital
中京,ちゅうきょう,Nagoya and environs
在京,ざいきょう,being in Tokyo
上京,じょうきょう,proceeding to the capital (Tokyo)
京成,けいせい,train line Tokyo - Narita
空,から,"emptiness, vacuum, blank"
空港,くうこう,airport
航空,こうくう,"aviation, flying"
空気,くうき,"air, atmosphere"
航空機,こうくうき,"aircraft, aeroplane, airplane"
空間,くうかん,"space, room, airspace"
空爆,くうばく,aerial bombing
空軍,くうぐん,Air Force
上空,じょうくう,"sky, the skies, high-altitude sky, upper air"
架空,かくう,"aerial, overhead, fiction, fanciful"
通り,どおり,"in accordance with ..., following ...; .. Street, .. Avenue"
通信,つうしん,"correspondence, communication, transmission, news, signal"
見通し,みとおし,"perspective, unobstructed view, outlook, forecast, prospect, insight, foresight, visibility"
共通,きょうつう,"commonness, community"
交通,こうつう,"communication, transportation, traffic, intercourse"
通貨,つうか,currency
通常,つうじょう,"common, general, normal, usual"
普通,ふつう,"general, ordinary, usual; normally, generally, usually; train that stops at every station"
通産省,つうさんしょう,"(former) Ministry of International Trade and Industry (now Ministry of Economy, Trade and Industry), MITI"
通算,つうさん,total
言わば,いわば,"so to speak, so to call it, as it were"
言う,"いう, ゆう",to say; to call (i.e. to give a name)
言,"げん, こと","word, remark, statement"
言葉,"ことば, けとば","language, dialect; word, words, phrase, term, expression, remark; speech, (manner of) speaking"
宣言,せんげん,"declaration, proclamation, announcement"
発言,はつげん,"utterance, speech, proposal"
証言,しょうげん,"evidence, testimony"
提言,ていげん,"proposal, motion"
言語,"げんご, ごんご",language
一言,"ひとこと, いちげん, いちごん",single word
理,り,"reason, principle, logic; general principle (as opposed to individual concrete phenomenon); (in neo-Confucianism) the underlying principles of the cosmos"
管理,かんり,"control, management (e.g. of a business)"
理事,りじ,"director, board of directors"
理由,りゆう,"reason, pretext, motive"
処理,しょり,"processing, dealing with, treatment, disposition, disposal"
総理,そうり,"prime minister, leader, overseer (of national affairs), president"
理解,りかい,"understanding, comprehension"
料理,りょうり,"cooking, cookery, cuisine; dealing with something, handling, administration, management"
代理,だいり,"representation, agency, proxy, deputy, agent, attorney, substitute, alternate, acting (principal, etc.)"
理念,りねん,idea
体,"からだ, しんたい",body; health
具体的,ぐたいてき,"concrete, tangible, definite, specific"
全体,ぜんたい,"whole, entirety, whatever (is the matter)"
体制,たいせい,"order, system, structure, set-up, organization, organisation"
団体,だんたい,"organization, organisation, association"
共同体,きょうどうたい,"cooperative body, cooperative system, collective, community"
自治体,じちたい,"self-governing body, municipality, autonomous entity"
体験,たいけん,personal experience
遺体,いたい,"corpse, remains"
具体,ぐたい,"concrete, tangible, material"
作,さく,"a work, a harvest"
作る,つくる,"to make, to produce, to manufacture, to build, to construct; to prepare (food), to brew (alcohol); to raise, to grow, to cultivate, to train; to till; to draw up (a document), to make out, to prepare, to write; to create (an artistic work, etc.), to compose; to coin (a phrase), to organize, to organise, to establish, to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to form (a line, etc.); to set (a record); to commit (a sin, etc.)"
作り,つくり,"making, producing, manufacturing, building, construction, make, structure; appearance (i.e. attire, make-up); build (i.e. physique); sashimi; forced (smile, etc.)"
作業,さぎょう,"work, operation, manufacturing, fatigue duty"
作品,さくひん,"work (e.g. book, film, composition, etc.), opus, performance, production"
作家,さっか,"author, writer, novelist, artist"
作戦,さくせん,"tactics, strategy; military or naval operations"
制作,せいさく,"work (film, book)"
工作,こうさく,"work, construction, handicraft, maneuvering, manoeuvering"
作曲,さっきょく,"composition, setting (of music)"
雇用,こよう,"employment (long term), hire"
採用,さいよう,"use, adoption, acceptance; appointment, employment, engagement"
使用,しよう,"use, application, employment, utilization, utilisation"
費用,ひよう,"cost, expense"
利用,りよう,"use, utilization, utilisation, application"
運用,うんよう,"making use of, application, investment, practical use"
乗用車,じょうようしゃ,"passenger vehicle, automobile"
信用,しんよう,"confidence, dependence, credit, faith, reliance, belief, credence"
適用,てきよう,applying
利用者,りようしゃ,"user, end-user, consumer"
強さ,つよさ,"strength, power"
強化,きょうか,"strengthen, intensify, reinforce, solidify, enhancement"
強制,きょうせい,"obligation, coercion, compulsion, enforcement"
勉強,べんきょう,"study; diligence; discount, reduction"
強める,つよめる,"to strengthen, to emphasize, to emphasise"
強硬,きょうこう,"firm, vigorous, unbending, unyielding, strong, stubborn"
強力,きょうりょく,"powerful, strong"
強盗,ごうとう,"robber, mugger; robbery, burglary"
強み,つよみ,forte
強気,つよき,"firm, strong"
足,あし,foot; leg; gait; pace; bottom structural component (i.e. radical) of a kanji; means of transportation
不足,ふそく,"insufficiency, shortage, deficiency, lack, dearth"
発足,"ほっそく, はっそく","starting, inauguration, launch, founding, establishment, start-up"
満足,まんぞく,satisfaction; sufficiency
足並み,あしなみ,"pace, step"
足元,"あしもと, そっか","at one's feet, underfoot; gait, pace, step; you, thou"
手足,てあし,"one's hands and feet, limbs"
足跡,"あしあと, そくせき",footprints
出足,であし,"start, turnout; constant forward movement (sumo)"
足場,あしば,"scaffold, footing, foothold"
公園,こうえん,(public) park
公演,こうえん,public performance; sumo exhibition in a foreign country
公開,こうかい,open to the public
公共,こうきょう,"public, community, public service, society, communal"
公式,こうしき,"formality, formal, official; formula"
公明党,こうめいとう,"New Komeito (Japanese political party), New Clean Government Party, Justice Party"
公的,こうてき,"public, official"
公判,こうはん,"public hearing, trial"
公民,こうみん,"citizen, freemen"
公明,こうめい,"fairness, justice"
野,"の, や, ぬ","plain, field; hidden (structural) member; wild; lacking a political post"
分野,ぶんや,"field, sphere, realm, division, branch"
野球,やきゅう,baseball
野党,やとう,"opposition party, political opposition, opposition"
与野党,よやとう,"(political) parties in and out of power, majority and minority parties"
野菜,やさい,vegetable
上野,うえの,section of Tokyo
視野,しや,"field of vision, outlook"
野生,やせい,"wild, growing wild; I"
大野,おおの,large field
思わず,おもわず,"unintentionally, reflexively, spontaneously, involuntarily, instinctively"
思い,おもい,"thought, mind, heart, feelings, emotion, sentiment, love, affection, desire, wish, hope, expectation, imagination, experience"
思う,おもう,"to think, to consider, to believe; to think (of doing), to plan (to do); to judge, to assess, to regard; to imagine, to suppose, to dream; to expect, to look forward to; to feel, to desire, to want; to recall, to remember"
意思,いし,"intention, purpose"
思想,しそう,"thought, idea, ideology"
思惑,おもわく,"expectation, prediction, forecast; anticipation, speculation"
思い切って,おもいきって,"resolutely, boldly, daringly"
思い出,おもいで,"memories, recollections, reminiscence"
思いやり,おもいやり,"consideration, sympathy"
思考,しこう,"thought, consideration, thinking"
家族,かぞく,"family, members of a family"
家庭,かてい,"home, family, household"
国家,こっか,"state, country, nation"
政治家,せいじか,"politician, statesman"
作家,さっか,"author, writer, novelist, artist"
専門家,せんもんか,specialist
農家,のうか,"farmer, farm family"
評論家,ひょうろんか,critic
一家,"いっか, いっけ","a house, a home, a family, a household, one's family, one's folks, a style"
家電,かでん,consumer electronics
多数,たすう,"great number; countless, majority"
多様,たよう,"diverse, varied"
多角,たかく,"many-sided, versatile, polygonal, diversified"
最多,さいた,the most
多額,たがく,large amount of money
多彩,たさい,"variegated, varicoloured, multi-colored, diverse"
多少,たしょう,"more or less, somewhat, a little, some"
数多く,かずおおく,in great numbers
多様化,たようか,diversification
多大,ただい,"heavy, much"
関心,かんしん,"concern, interest"
中心,ちゅうしん,"center, centre, middle, heart, core, focus, pivot, emphasis, balance"
心不全,しんふぜん,heart failure
心から,"しんから, こころから","from the bottom of one's heart, heart and soul, by nature"
心臓,しんぞう,heart
心配,しんぱい,"worry, concern, anxiety; care, help, aid, assistance"
心理,しんり,mentality
安心,あんしん,"relief, peace of mind"
都心,としん,"city centre (center) (esp. capital city), urban centre, heart of city a metropolis"
熱心,ねっしん,"zeal, enthusiasm"
教育,きょういく,"training, education"
教授,きょうじゅ,"professor; teaching, instruction"
教師,きょうし,teacher (classroom)
宗教,しゅうきょう,religion
教室,きょうしつ,classroom
教徒,きょうと,"believer, adherent"
教科書,きょうかしょ,"textbook, text book"
教諭,きょうゆ,teacher
助教授,じょきょうじゅ,assistant professor
教会,きょうかい,church
早期,そうき,early stage
早,はや,"already, now, by this time"
早急,"さっきゅう, そうきゅう",urgent
早朝,そうちょう,early morning
早める,はやめる,"to hasten, to quicken, to expedite, to precipitate, to accelerate"
早々,"そうそう, はやばや","early, all in good time; quickly, promptly; just- (opened, started, etc.)"
早い,はやい,"fast, quick, hasty, brisk; early (in the day, etc.), premature; (too) soon, not yet, (too) early; easy, simple, quick"
時期尚早,じきしょうそう,premature
素早く,すばやく,"quickly, nimbly, agilely"
早乙女,さおとめ,"young female rice planter, young girl"
元,もと,"origin, source; base, foundation; cause; ingredient; (somebody's) side, (somebody's) location; original cost (or capital, principal, etc.); trunk; first section of a waka; counter for blades of grass, tree trunks, etc., and for falcons (in falconry)"
地元,じもと,"home area, home town; local"
元首,げんしゅ,"ruler, sovereign"
元気,げんき,"health(y), robust, vigor, vigour, energy, vitality, vim, stamina, spirit, courage, pep"
元日,"がんじつ, がんにち",New Year's Day
身元,みもと,"person's identity, ID, past, background"
足元,"あしもと, そっか","at one's feet, underfoot; gait, pace, step; you, thou"
還元,かんげん,"resolution, reduction, return to origins"
元年,がんねん,first year (of a specific reign)
次元,じげん,"dimension; perspective, point of reference, level (of something)"
最近,さいきん,"latest, most recent, nowadays"
近代,きんだい,"present day, modern times"
付近,ふきん,"neighbourhood, neighborhood, vicinity, environs; approaching"
近鉄,きんてつ,Kinki Nippon Tetsudou (railway co.)
側近,そっきん,"close associate, close aide, brains-truster"
近所,きんじょ,"neighbourhood, neighborhood"
近年,きんねん,recent years
近畿,きんき,"Kinki (region around Osaka, Kyoto, Nara)"
近郊,きんこう,"suburbs, outskirts"
近隣,きんりん,"neighbourhood, neighborhood, vicinity"
考え,かんがえ,"thinking, thought, ideas, intention"
考え方,かんがえかた,way of thinking
参考,さんこう,"reference, consultation"
選考,せんこう,"selection, screening"
考える,かんがえる,"to consider, to think about"
思考,しこう,"thought, consideration, thinking"
考古学,こうこがく,"archaeology, archeology"
考慮,こうりょ,"consideration, taking into account"
再考,さいこう,reconsideration
考察,こうさつ,"consideration, inquiry, enquiry"
画,かく,"stroke (of a kanji, etc.)"
映画,えいが,"movie, film"
計画,けいかく,"plan, project, schedule, scheme, program, programme"
企画,きかく,"planning, project, plan, design"
絵画,かいが,"picture, painting"
画面,がめん,"terminal screen, scene, picture, the field (in TV), photo"
画家,がか,"painter, artist"
漫画,まんが,"comic, cartoon"
画像,がぞう,"image, picture, portrait"
経済企画庁,けいざいきかくちょう,Economic Planning Agency
海,"うみ, み, わた, わだ","sea, beach"
海外,かいがい,"foreign, abroad, overseas"
北海道,ほっかいどう,Hokkaido (northernmost of the four main islands of Japan)
東海,とうかい,"region south of Tokyo on Pacific Ocean side of Japan, eastern sea"
海軍,かいぐん,navy
海上,かいじょう,"(by, at, on) sea, maritime, marine"
海岸,かいがん,"coast, beach"
海洋,かいよう,ocean
掃海,そうかい,"sweeping the sea for mines, dragging for mines"
日本海,"にほんかい, にっぽんかい",Sea of Japan
販売,はんばい,"sales, selling, marketing"
売り,うり,"sale, selling; selling point, gimmick"
売る,うる,to sell
売買,ばいばい,"trade, buying and selling"
発売,はつばい,"sale, offering for sale, release (for sale), launch (product)"
売り上げ,うりあげ,"amount sold, proceeds"
売却,ばいきゃく,"sale, disposal by sale"
売上高,うりあげだか,"sales, amount sold, proceeds"
商売,しょうばい,"trade, business, commerce, transaction, occupation"
売り場,うりば,"place where things are sold, point of sale, POS, sales floor, counter (in shop)"
知る,しる,"to know, to understand, to be acquainted with, to feel"
知事,ちじ,prefectural governor
知らん顔,しらんかお,"unconcerned air, indifference, feigned ignorance, pretending not to recognize (somebody)"
県知事,けんちじ,prefectural governor
知識,ちしき,"knowledge, information"
知人,ちじん,"friend, acquaintance"
知恵,ちえ,"wisdom, wit, sagacity, sense, intelligence; prajna (insight leading to enlightenmen)"
知的,ちてき,intellectual
通知,つうち,"notice, notification, report, posting"
副知事,ふくちじ,lieutenant governor
道,みち,"road, street, way, path, course, route, lane; distance, ways (e.g. ""a long ways""); the way (of proper conduct, etc.), one's way, morals; teachings (esp. Confucian or Buddhist), dogma; field (of medicine, etc.), subject; way, method, means"
報道,ほうどう,"information, report, journalism"
北海道,ほっかいどう,Hokkaido (northernmost of the four main islands of Japan)
道路,どうろ,"road, highway"
鉄道,てつどう,railroad
都道府県,とどうふけん,"administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures"
軌道,きどう,"orbit, trajectory; railroad track"
柔道,じゅうどう,judo
報道陣,ほうどうじん,press corps
高速道路,こうそくどうろ,"highway, freeway, expressway, motorway"
計,けい,"plan; meter, measuring device; (in) total, total (of)"
計画,けいかく,"plan, project, schedule, scheme, program, programme"
合計,ごうけい,"sum total, total amount"
設計,せっけい,"plan, design, layout"
計算,けいさん,"calculation, reckoning, count; forecast"
統計,とうけい,statistics
会計,かいけい,"account, finance, accountant, treasurer, paymaster, reckoning, bill"
時計,"とけい, ときはかり","watch, clock, timepiece"
集計,しゅうけい,"totalization, totalisation, aggregate"
家計,かけい,"household economy, family finances"
事,こと,"thing, matter, fact, circumstances, business, reason, experience"
幹事,かんじ,"executive secretary, coordinator, organizer, person in charge of making arrangements"
記事,きじ,"article, news story, report, account"
軍事,ぐんじ,military affairs
仕事,しごと,"work, job, business, occupation, employment, vocation, task; work"
事業,じぎょう,"project, enterprise, business, industry, operations"
事件,じけん,"event, affair, incident, case, plot, trouble, scandal"
事故,じこ,"accident, incident, trouble; circumstances, reasons"
事実,じじつ,"fact, truth, reality"
事情,じじょう,"circumstances, consideration, conditions, situation, reasons"
朝,"あさ, あした",morning
北朝鮮,きたちょうせん,North Korea
朝鮮,ちょうせん,Korea
朝鮮民主主義人民共和国,ちょうせんみんしゅしゅぎじんみんきょうわこく,"Democratic People's Republic of Korea (North Korea), DPRK"
朝鮮半島,ちょうせんはんとう,Korean peninsula
早朝,そうちょう,early morning
朝日,あさひ,morning sun
朝刊,ちょうかん,morning newspaper
朝食,ちょうしょく,breakfast
毎朝,"まいあさ, まいちょう",every morning
字,あざ,section of village
黒字,くろじ,balance (figure) in the black
数字,すうじ,"numeral, figure, digit, numeric character"
赤字,あかじ,"deficit, (being in or going into) the red; red text, red letters"
文字,"もじ, もんじ","letter (of alphabet), character; literal"
漢字,かんじ,"Chinese characters, kanji"
十字,じゅうじ,"cross, crossed, cruciform"
文字通り,もじどおり,literal; literally
活字,かつじ,printing type
点字,てんじ,Braille
発,はつ,"departure, departing (from ...), departing (at time ...); beginning; issued by (e.g. document); counter for gunshots, counter for blows (punches)"
開発,かいはつ,"development, exploitation"
発言,はつげん,"utterance, speech, proposal"
発行,はっこう,"issue (publications), publishing; raising an event (software)"
発展,はってん,"development, growth"
発表,はっぴょう,"announcement, publication"
反発,はんぱつ,"to repel, to oppose, to revolt, to react sharply (against); opposition, rebellion, resistance, backlash; rally, recovery (e.g. in stock prices), rebound; to rally, to recover, to rebound"
活発,かっぱつ,"vigor, vigour, active, lively"
原発,げんぱつ,"nuclear power plant, nuclear power supply"
先発,せんぱつ,"forerunner, advance party, going on ahead; being in a (team sports) match or game from the start, starting"
台,だい,"stand, rack, table; support; belt; counter for machines, incl. vehicles; setting (e.g. in jewellery)"
台湾,たいわん,Taiwan
舞台,ぶたい,"stage (theatre, theater); scene or setting (e.g. of novel, play, etc.)"
台風,たいふう,"typhoon, hurricane"
台所,"だいどころ, だいどこ",kitchen
大台,おおだい,"(stock) 100-yen unit, high level (of stock prices)"
台頭,たいとう,"rise of, appearance of, (in the) forefront, prominence"
台本,だいほん,"script, libretto, scenario"
土台,どだい,"foundation, base, basis"
屋台,やたい,"cart, esp. food cart; (festival) float"
広い,ひろい,"spacious, vast, wide"
広がり,ひろがり,"spread, span"
広告,こうこく,advertisement
広げる,ひろげる,"to spread, to extend, to expand, to enlarge, to widen, to broaden, to unfold, to open, to unroll"
広がった枝,ひろがったえだ,spreading branches
広さ,ひろさ,extent
広報,こうほう,"PR, public relations, publicity, information"
広場,ひろば,plaza
幅広い,はばひろい,"extensive, wide, broad"
広大,こうだい,"huge, very large, vast, extensive, magnificent, grand"
音,"おと, ね, おん","sound, noise, report; note (music); fame; Chinese-derived character reading"
音楽,おんがく,"music, musical movement"
本音,ほんね,"real intention, motive"
騒音,そうおん,noise
音声,"おんせい, おんじょう","voice, (the concept of) sound"
六十四分音符,ろくじゅうしぶおんぷ,64th note
録音,ろくおん,(audio) recording
音響,おんきょう,"sound, noise, echo, acoustic(s)"
音頭,おんど,"workmen's songs, marching songs"
音色,"ねいろ, おんいろ, おんしょく","tone color, tone colour, tone quality, timbre; synthesizer patch, synthesiser patch"
患者,かんじゃ,(a) patient
関係者,かんけいしゃ,"authorized people, authorised people, person(s) concerned"
記者,きしゃ,reporter
業者,ぎょうしゃ,"trader, merchant"
容疑者,ようぎしゃ,suspect (person)
若者,わかもの,"young man, youth, lad"
消費者,しょうひしゃ,consumer
労働者,ろうどうしゃ,"laborer (labourer), blue-collar worker"
学者,がくしゃ,scholar
経営者,けいえいしゃ,"manager, proprietor"
業,ごう,karma (i.e. actions committed in a former life)
企業,きぎょう,"enterprise, undertaking, corporation, business"
業界,ぎょうかい,"industry, business"
業者,ぎょうしゃ,"trader, merchant"
作業,さぎょう,"work, operation, manufacturing, fatigue duty"
産業,さんぎょう,industry
事業,じぎょう,"project, enterprise, business, industry, operations"
農業,のうぎょう,agriculture
営業,えいぎょう,"business, trade, sales, operations"
業務,ぎょうむ,"business, affairs, duties, work, procedure, task, action, function"
委員,いいん,committee member
委員会,いいんかい,"committee, commission, board, panel, committee meeting"
委員長,いいんちょう,committee chairman
会員,かいいん,"member, the membership"
議員,ぎいん,"member of the Diet, congress or parliament"
職員,しょくいん,"staff member, personnel"
国会議員,こっかいぎいん,"member of National Diet, Diet member"
